Date;GOOG.NASDAQ_AAPL - Close;GOOG.NASDAQ_GOOGL - Close;GOOG.NASDAQ_MSFT - Close;GOOG.NASDAQ_FB - Close;GOOG.NYSE_ORCL - Close
2012-11-07;79.71;333.89;29.08;20.47;30.79
2012-11-08;76.82;326.47;28.81;19.99;30.42
2012-11-09;78.15;331.85;28.83;19.21;30.35
2012-11-12;77.55;333.28;28.22;20.07;30.3
2012-11-13;77.56;329.86;27.09;19.86;30.02
2012-11-14;76.7;326.6;26.84;22.36;29.58
2012-11-15;75.09;323.95;26.66;22.17;29.95
2012-11-16;75.38;323.91;26.52;23.56;30.0
2012-11-19;80.82;334.44;26.73;22.92;30.14
2012-11-20;80.13;335.32;26.71;23.1;30.2
2012-11-21;80.24;333.27;26.95;24.32;30.4
2012-11-23;81.64;334.32;27.7;24.0;30.92
2012-11-26;84.22;330.91;27.38;25.94;30.96
2012-11-27;83.54;335.69;27.08;26.15;31.22
2012-11-28;83.28;342.18;27.36;26.36;31.8
2012-11-29;84.19;346.29;26.95;27.32;31.84
2012-11-30;83.61;349.53;26.62;28.0;32.18
2012-12-03;83.74;347.97;26.43;27.04;32.31
2012-12-04;82.26;345.86;26.37;27.46;32.38
2012-12-05;76.97;344.25;26.67;27.71;32.0
2012-12-06;78.18;345.91;26.72;26.97;32.03
2012-12-07;76.18;342.45;26.46;27.48;31.92
2012-12-10;75.69;343.05;26.94;27.84;32.07
2012-12-11;77.34;348.79;27.32;27.98;32.34
2012-12-12;77.0;349.13;27.24;27.58;31.94
2012-12-13;75.67;351.7;27.11;28.24;31.61
2012-12-14;72.83;351.33;26.81;26.81;31.96
2012-12-17;74.12;360.75;27.1;26.75;32.32
2012-12-18;76.27;360.9;27.56;27.71;32.88
2012-12-19;75.19;360.42;27.31;27.41;34.09
2012-12-20;74.53;361.54;27.68;27.36;33.94
2012-12-21;74.19;358.17;27.45;26.26;33.76
2012-12-24;74.31;355.1;27.06;26.93;33.61
2012-12-26;73.29;354.79;26.86;26.51;33.61
2012-12-27;73.58;353.5;26.96;26.05;33.27
2012-12-28;72.8;350.36;26.55;25.91;33.02
2012-12-31;76.02;354.04;26.71;26.62;33.32
2013-01-02;78.43;361.99;27.62;28.0;34.69
2013-01-03;77.44;362.2;27.25;27.77;34.31
2013-01-04;75.29;369.35;26.74;28.76;34.61
2013-01-07;74.8;367.74;26.69;29.42;34.43
2013-01-08;75.04;367.02;26.55;29.06;34.44
2013-01-09;73.87;369.43;26.7;30.59;34.46
2013-01-10;74.79;371.11;26.46;31.3;34.91
2013-01-11;74.33;370.36;26.83;31.72;34.86
2013-01-14;71.68;361.99;26.89;30.95;34.96
2013-01-15;69.42;362.83;27.21;30.1;34.7
